danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,user
0.429,0.661,11,-7.227,1,0.0281,0.00239,1.21e-4,0.234,0.285,173.372,audio_features,3AJwUDP919kvQ9QcozQPxg,spotify:track:3AJwUDP919kvQ9QcozQPxg,https://api.spotify.com/v1/tracks/3AJwUDP919kvQ9QcozQPxg,https://api.spotify.com/v1/audio-analysis/3AJwUDP919kvQ9QcozQPxg,266773,4,Yellow,3AJwUDP919kvQ9QcozQPxg,Jillian
0.36,0.261,11,-13.639,0,0.0319,0.125,0.843,0.105,0.443,78.025,audio_features,5gYGXwHud7JFReP9W61wGt,spotify:track:5gYGXwHud7JFReP9W61wGt,https://api.spotify.com/v1/tracks/5gYGXwHud7JFReP9W61wGt,https://api.spotify.com/v1/audio-analysis/5gYGXwHud7JFReP9W61wGt,410900,4,Friday Morning,5gYGXwHud7JFReP9W61wGt,Jillian
0.4,0.424,0,-8.46,0,0.113,0.705,0,0.123,0.554,196.927,audio_features,19KlfWv3Dd4Zwrhf32sQpb,spotify:track:19KlfWv3Dd4Zwrhf32sQpb,https://api.spotify.com/v1/tracks/19KlfWv3Dd4Zwrhf32sQpb,https://api.spotify.com/v1/audio-analysis/19KlfWv3Dd4Zwrhf32sQpb,240253,5,After Tonight,19KlfWv3Dd4Zwrhf32sQpb,Jillian
0.445,0.179,1,-18.555,1,0.0358,0.86,0.00151,0.171,0.327,148.094,audio_features,5YK0WaXMtRHeWEn8EIbmPw,spotify:track:5YK0WaXMtRHeWEn8EIbmPw,https://api.spotify.com/v1/tracks/5YK0WaXMtRHeWEn8EIbmPw,https://api.spotify.com/v1/audio-analysis/5YK0WaXMtRHeWEn8EIbmPw,422333,4,Lua (feat. MARO),5YK0WaXMtRHeWEn8EIbmPw,Jillian
0.607,0.784,7,-6.293,1,0.268,0.433,0,0.689,0.482,81.004,audio_features,6JG0qhINKVwiHxqN85j7RG,spotify:track:6JG0qhINKVwiHxqN85j7RG,https://api.spotify.com/v1/tracks/6JG0qhINKVwiHxqN85j7RG,https://api.spotify.com/v1/audio-analysis/6JG0qhINKVwiHxqN85j7RG,278573,4,Crooked Smile (feat. TLC),6JG0qhINKVwiHxqN85j7RG,Jillian
0.583,0.631,7,-4.476,1,0.0389,0.418,0,0.902,0.575,114.426,audio_features,6m3uOq1sCyocPlXgMjV6rz,spotify:track:6m3uOq1sCyocPlXgMjV6rz,https://api.spotify.com/v1/tracks/6m3uOq1sCyocPlXgMjV6rz,https://api.spotify.com/v1/audio-analysis/6m3uOq1sCyocPlXgMjV6rz,231369,4,Baby I Don't Know Oh Oh (Live at Madison Square Garden),6m3uOq1sCyocPlXgMjV6rz,Jillian
0.65,0.528,4,-5.642,0,0.0288,0.00927,4.19e-4,0.111,0.595,96.967,audio_features,5saMo1BtSHW111VrurVHe8,spotify:track:5saMo1BtSHW111VrurVHe8,https://api.spotify.com/v1/tracks/5saMo1BtSHW111VrurVHe8,https://api.spotify.com/v1/audio-analysis/5saMo1BtSHW111VrurVHe8,187720,4,Sun,5saMo1BtSHW111VrurVHe8,Jillian
0.801,0.491,0,-9.088,1,0.0545,0.0938,9.35e-5,0.193,0.822,125.051,audio_features,0S4kEeUTfzbh4dETER9ETx,spotify:track:0S4kEeUTfzbh4dETER9ETx,https://api.spotify.com/v1/tracks/0S4kEeUTfzbh4dETER9ETx,https://api.spotify.com/v1/audio-analysis/0S4kEeUTfzbh4dETER9ETx,220800,4,SADE IN THE 90s,0S4kEeUTfzbh4dETER9ETx,Jillian
0.794,0.718,6,-4.444,1,0.069,0.0838,0,0.0979,0.216,111.037,audio_features,2sZ7vWUXreUVNWFj0voFyD,spotify:track:2sZ7vWUXreUVNWFj0voFyD,https://api.spotify.com/v1/tracks/2sZ7vWUXreUVNWFj0voFyD,https://api.spotify.com/v1/audio-analysis/2sZ7vWUXreUVNWFj0voFyD,180550,4,Sweettalk my Heart,2sZ7vWUXreUVNWFj0voFyD,Jillian
0.8,0.533,11,-6.594,0,0.223,0.547,0.00279,0.311,0.663,90.045,audio_features,12H6iTEgiX4HPnCPphYSMk,spotify:track:12H6iTEgiX4HPnCPphYSMk,https://api.spotify.com/v1/tracks/12H6iTEgiX4HPnCPphYSMk,https://api.spotify.com/v1/audio-analysis/12H6iTEgiX4HPnCPphYSMk,161360,4,FAR AWAY,12H6iTEgiX4HPnCPphYSMk,Jillian
0.566,0.394,10,-11.438,0,0.0445,0.712,2.59e-5,0.156,0.6,78.948,audio_features,4UCiDcv0yO9tNLZbkZeBBA,spotify:track:4UCiDcv0yO9tNLZbkZeBBA,https://api.spotify.com/v1/tracks/4UCiDcv0yO9tNLZbkZeBBA,https://api.spotify.com/v1/audio-analysis/4UCiDcv0yO9tNLZbkZeBBA,281054,4,Sink into the Floor,4UCiDcv0yO9tNLZbkZeBBA,Jillian
0.25,0.215,8,-13.676,0,0.037,0.632,0.0717,0.401,0.0746,174.824,audio_features,7rLDARtJALM7QdiJDMXW7m,spotify:track:7rLDARtJALM7QdiJDMXW7m,https://api.spotify.com/v1/tracks/7rLDARtJALM7QdiJDMXW7m,https://api.spotify.com/v1/audio-analysis/7rLDARtJALM7QdiJDMXW7m,195987,3,Pray You Catch Me,7rLDARtJALM7QdiJDMXW7m,Jillian
0.524,0.397,0,-11.936,1,0.405,0.745,0,0.521,0.552,80.744,audio_features,0rzNMzZsubFcXSEh7dnem7,spotify:track:0rzNMzZsubFcXSEh7dnem7,https://api.spotify.com/v1/tracks/0rzNMzZsubFcXSEh7dnem7,https://api.spotify.com/v1/audio-analysis/0rzNMzZsubFcXSEh7dnem7,221093,4,Hold Up,0rzNMzZsubFcXSEh7dnem7,Jillian
